Mar 13 10:46:01 mit-CF-AX2L-50MF CRON[15247]: (mit) CMD (sudo journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:46:01 mit-CF-AX2L-50MF CRON[15248]: (root) CMD (journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:47:01 mit-CF-AX2L-50MF CRON[15330]: (mit) CMD (sudo journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:47:01 mit-CF-AX2L-50MF CRON[15332]: (root) CMD (journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:48:01 mit-CF-AX2L-50MF CRON[15393]: (mit) CMD (sudo journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:48:01 mit-CF-AX2L-50MF CRON[15394]: (root) CMD (journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:49:01 mit-CF-AX2L-50MF CRON[15460]: (root) CMD (journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:49:01 mit-CF-AX2L-50MF CRON[15461]: (mit) CMD (sudo journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:50:01 mit-CF-AX2L-50MF CRON[15521]: (root) CMD (journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:50:01 mit-CF-AX2L-50MF CRON[15522]: (mit) CMD (sudo journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:51:05 mit-CF-AX2L-50MF CRON[16039]: (root) CMD (journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:51:05 mit-CF-AX2L-50MF CRON[16040]: (mit) CMD (sudo journalctl -f|grep iptables >> /var/www/tsanta/php/netfilter/menu/history/history.data)
Mar 13 10:51:25 mit-CF-AX2L-50MF sudo[16253]:      mit : TTY=pts/3 ; PWD=/var/www/tsanta/php/netfilter/menu/history ; USER=root ; COMMAND=/usr/sbin/iptables -L
